TIMESTAMP,GPP_NT_VUT_REF,TA_F,SW_IN_F,LW_IN_F,VPD_F,PA_F,P_F,WS_F
1997-01-01,NA,-4.57,77.421,NA,0.565,82.623,0.4,0.559
1997-01-02,NA,-3.336,45.588,NA,0.978,82.883,0,1.107
1997-01-03,-0.242279,0.278,74.069,NA,2.243,82.398,0,2.03
1997-01-04,0.246635,-1.876,58.069,NA,1.381,81.697,1.8,1.918
1997-01-05,0.519542,-4.955,80.798,NA,1.155,82.263,0,0.407
1997-01-06,0.0182312,-4.484,59.552,NA,0.838,82.724,0,0.466
1997-01-07,0.0777376,-3.154,45.489,NA,1.329,82.91,0,1.028
1997-01-08,-0.483547,-2.451,76.654,NA,1.867,82.651,0,1.953
1997-01-09,-0.37946,-2.433,47.62,NA,1.436,82.228,0,0.785
1997-01-10,-0.551929,-3.094,39.644,NA,0.776,82.805,0,1.245
1997-01-11,-0.54446,-4.489,85.211,NA,1.749,83.745,0,0.743
1997-01-12,-1.01659,-4.179,97.536,NA,3.046,84.132,0,NA
1997-01-13,-0.743105,-1.853,88.286,NA,3.899,84.092,0,1.597
1997-01-14,-0.526969,-0.118,88.17,NA,4.238,84.124,0,1.091
1997-01-15,-0.540843,1.259,88.349,NA,4.427,84.315,0,1.451
1997-01-16,-0.191985,1.585,88.914,NA,4.323,84.11,0,1.434
1997-01-17,-0.18009,0.446,90.219,NA,3.749,83.764,0,1.585
1997-01-18,-0.235092,-1.908,86.42,NA,3.111,83.639,0,1.152
1997-01-19,-0.0326212,-1.154,43.226,NA,2.168,83.252,1.1,1.704
1997-01-20,-0.0460417,-1.349,26.781,NA,0.04,83.404,4.1,0.644
1997-01-21,0.243494,-0.003,74.98,NA,0.4,84.097,2.9,1.219
1997-01-22,0.167779,2.339,62.648,NA,2.621,84.365,0,2.228
1997-01-23,0.924027,2.59,61.296,NA,2.74,84.365,0,1.795
1997-01-24,0.102151,1.023,65.409,NA,2.904,84.351,0,1.048
1997-01-25,0.202503,-0.514,89.384,NA,2.592,84.345,0,0.731
1997-01-26,0.391633,-0.551,79.13,NA,2.27,84.016,0,1.485
1997-01-27,0.0184018,-1.777,99.96,NA,2.028,84.11,0,1.223
1997-01-28,-0.0351724,-2.435,100.66,NA,1.908,84.45,0,0.805
1997-01-29,-4.61463e-4,-2.669,106.712,NA,2.416,84.76,0,0.895
1997-01-30,0.313997,-1.789,110.547,NA,3.202,84.633,0,0.976
1997-01-31,0.230657,-2.095,112.714,NA,3.088,84.353,0,1.063
1997-02-01,0.0973555,-2.565,114.546,NA,2.766,84.17,0,1.029
1997-02-02,0.220662,-2.739,118.151,NA,3.344,83.99,0,1.109
1997-02-03,0.241276,-3.158,103.917,NA,2.935,83.953,0,1.388
1997-02-04,0.430691,-3.189,102.472,NA,2.912,83.913,0,0.771
1997-02-05,1.03755,-2.262,59.993,NA,2.203,83.564,2.9,2.124
1997-02-06,-0.186386,-4.537,128.212,NA,1.475,84.542,0,1.843
1997-02-07,-0.0883425,-0.458,124.68,NA,3.831,84.816,0,1.314
1997-02-08,0.108176,-0.119,129.601,NA,4.364,84.814,0,1.464
1997-02-09,0.0740114,-0.208,128.635,NA,4.232,84.602,0,1.175
1997-02-10,-0.10582,0.405,132.494,NA,4.164,84.271,0,1.391
1997-02-11,0.399245,-0.633,123.677,NA,2.745,83.977,0,1.696
1997-02-12,0.492037,-0.538,138.25,NA,0.903,83.652,2.8,1.738
1997-02-13,-0.204911,-2.207,98.039,NA,1.266,82.715,1.2,4.281
1997-02-14,0.163313,-4.04,44.608,NA,0.286,82.528,4.7,1.667
1997-02-15,0.0293262,-3.307,77.695,NA,0.508,82.703,0.7,2.48
1997-02-16,-0.646523,-5.955,151.121,NA,1.067,83.692,0,1.19
1997-02-17,-0.0316371,-3.342,143.06,NA,2.118,83.852,0,1.63
1997-02-18,-0.174508,-2.784,82.216,NA,1.781,83.714,2.5,2.599
1997-02-19,0.286262,-5.252,121.451,NA,1.024,84.195,1.4,3.907
1997-02-20,-0.0293704,-2.228,107.464,NA,1.041,84.207,1.2,2.281
1997-02-21,0.0528713,-1.632,159.09,NA,2.426,84.481,0,1.203
1997-02-22,-0.308915,0.255,160.852,NA,3.558,84.599,0,1.274
1997-02-23,-0.332228,1.684,148.887,NA,4.808,83.916,0,1.661
1997-02-24,0.0852475,-0.138,128.459,NA,3.017,83.351,0,2.677
1997-02-25,1.07641,2.627,124.715,NA,3.338,83.34,0,4.269
1997-02-26,1.0266,0.6,79.542,NA,1.535,83.309,5,3.56
1997-02-27,-0.637196,-4.117,71.169,NA,0.577,84.406,2.3,4.96
1997-02-28,0.139475,-2.355,168.035,NA,1.554,84.922,0,1.349
1997-03-01,1.05616,1.621,106.337,NA,3.321,84.713,0,1.131
1997-03-02,1.27806,2.444,182.989,NA,4.384,84.636,0,NA
1997-03-03,1.17358,1.835,99.725,NA,2.886,84.915,0,1.305
1997-03-04,1.87961,2.853,118.273,NA,3.217,84.944,0,1.361
1997-03-05,0.734383,1.618,94.411,NA,1.747,84.426,0.7,1.446
1997-03-06,0.639941,-2.133,124.603,NA,0.232,84.389,1.8,2.722
1997-03-07,1.37684,-0.079,191.117,NA,2.487,84.538,0,1.606
1997-03-08,1.38098,0.693,193.759,NA,3.927,84.692,0,1.6
1997-03-09,1.55218,1.976,161.781,NA,4.548,84.805,0,1.452
1997-03-10,1.43118,2.278,196.088,NA,4.45,84.948,0,1.663
